object_number,material_name,alloy_melt_uncertainty,oxidised_emissivity_factor,heat_capacity_factor,latent_melt_uncertainty
0,drama-AA7075,0.0,1.0,1.0,1.0
1,drama-A316,0.0,1.0,1.0,1.0
2,drama-A316_Semi-Empirical,0.0,1.0,1.0,1.0
3,drama-BatCell,0.0,1.0,1.0,1.0
4,drama-Bat-Li,0.0,1.0,1.0,1.0
5,drama-Bat-NiCd,0.0,1.0,1.0,1.0
6,drama-Beryllium,0.0,1.0,1.0,1.0
7,drama-Carbon-Carbon,0.0,1.0,1.0,1.0
8,drama-Copper,0.0,1.0,1.0,1.0
9,drama-El-Mat,0.0,1.0,1.0,1.0
10,drama-FusedSilicaProxy,0.0,1.0,1.0,1.0
11,drama-GFRPProxy,0.0,1.0,1.0,1.0
12,drama-Haynes25Thick,0.0,1.0,1.0,1.0
13,drama-Haynes25Thin,0.0,1.0,1.0,1.0
14,drama-HC-AA7075,0.0,1.0,1.0,1.0
15,drama-HC-CFRP-4ply,0.0,1.0,1.0,1.0
16,drama-HC-CFRP-8ply,0.0,1.0,1.0,1.0
17,drama-HiperCo,0.0,1.0,1.0,1.0
18,drama-Inconel718,0.0,1.0,1.0,1.0
19,drama-Inermet,0.0,1.0,1.0,1.0
20,drama-Invar,0.0,1.0,1.0,1.0
21,drama-Iron,0.0,1.0,1.0,1.0
22,drama-Molybdenum,0.0,1.0,1.0,1.0
23,drama-SiC,0.0,1.0,1.0,1.0
24,drama-SolarPanel-Mat,0.0,1.0,1.0,1.0
25,drama-TiAl6v4,0.0,1.0,1.0,1.0
26,drama-TiAl6v4_Semi-Empirical,0.0,1.0,1.0,1.0
27,drama-Tungsten,0.0,1.0,1.0,1.0
28,drama-ZerodurProxy,0.0,1.0,1.0,1.0
