#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                         ---- DRAMA ( SESAM r2.3.0 ) ----
#                                      ESA 2018
#
#                         final state of ballooning objects
#-------------------------------------------------------------------------------
# Filename      : ballooningData.txt
# RunID         : PySara
# Content       : This file lists the ballooning objects,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach                UniqueID                  Name
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   432.212          71.038    -43.222   -113.116            2.304         3394.743      1.204      0.000      0.000    0.00341    8.37427  c819661c-34ef-46e7-b1eb-890ade42e3af  PCU
   416.642          72.699    -42.188   -112.802            2.454         3276.812      1.041      0.000      0.000    0.00373    8.99550  c0ddc3c0-47ce-435f-9deb-b33486eaf601  BCU
   433.291          70.847    -43.247   -113.124            2.442         3397.546      1.229      0.000      0.000    0.00292    8.84402  a68c82cf-50d9-4d72-b8e8-fb77b034ddcc  Decoder
   428.858          71.286    -42.916   -113.022            2.363         3359.823      0.976      0.000      0.000    0.00348    8.58597  0e801314-4be9-4a8e-8863-be55cd8972a8  MBU
   444.136          69.588    -43.921   -113.333            2.144         3474.503      1.111      0.000      0.000    0.00295    7.69098  9da080c0-a677-4e48-9413-7396776e2156  X-PND1
   451.232          68.773    -44.388   -113.481            2.144         3527.749      1.242      0.000      0.000    0.00259    7.65487  c287fba3-8bbe-4179-bca3-e0297868e371  TRU1
   444.136          69.588    -43.921   -113.333            2.144         3474.503      1.111      0.000      0.000    0.00295    7.69098  937ad039-148d-4738-aeef-7ba048002fe8  X-PND2
   451.232          68.773    -44.388   -113.481            2.144         3527.749      1.242      0.000      0.000    0.00259    7.65487  197bea65-bd7c-4823-addb-ea50438d3765  TRU2
   421.070          72.247    -42.490   -112.893            2.198         3311.188      1.004      0.000      0.000    0.00384    8.04206  0f2288de-76e2-422f-8b97-5b27ae9b0726  MRU
   422.051          72.079    -42.500   -112.896            2.293         3312.342      0.928      0.000      0.000    0.00390    8.36921  8dd6e192-40c1-4d95-82a7-e0edd97e769a  Gyro2
   422.051          72.079    -42.500   -112.896            2.293         3312.342      0.928      0.000      0.000    0.00390    8.36921  bb912958-2642-4cbc-b737-06295400219b  Gyro1
   435.332          70.501    -43.287   -113.136            2.281         3402.169      1.097      0.000      0.000    0.00316    8.22454  73aad817-0c8f-4729-8cfc-bdb457fa3af1  RWE1
   435.332          70.501    -43.287   -113.136            2.281         3402.169      1.097      0.000      0.000    0.00316    8.22454  cbd88e14-9f02-4477-ba19-2ae766ccf9c2  RWE2
   426.680          71.653    -42.886   -113.013            2.342         3356.430      1.136      0.000      0.000    0.00438    8.58232  f846371b-1403-415a-b518-e78f9a87d5e8  STRE1
   426.680          71.653    -42.886   -113.013            2.342         3356.430      1.136      0.000      0.000    0.00438    8.58232  019e359a-7b6d-4e88-ae45-6c0cb1b9f231  STRE2
   426.680          71.653    -42.886   -113.013            2.342         3356.430      1.136      0.000      0.000    0.00438    8.58232  1c53a534-00ac-486c-b9b2-0e0baa3dd619  STRE3
   435.614          70.658    -43.465   -113.191            2.093         3422.412      1.136      0.000      0.000    0.00410    7.58621  cf475c8e-4dd9-43c4-93e1-443e41ca045a  STR1
   435.614          70.658    -43.465   -113.191            2.093         3422.412      1.136      0.000      0.000    0.00410    7.58621  b96f24b8-3482-41b4-8ff7-10c9d0096fe0  STR2
   435.614          70.658    -43.465   -113.191            2.093         3422.412      1.136      0.000      0.000    0.00410    7.58621  d97c8a48-c211-4c49-8222-dd2e42cdea91  STR3
   440.159          70.167    -43.733   -113.275            2.091         3453.073      0.900      0.000      0.000    0.00258    7.54536  c5961bc0-58db-4518-85cb-9d7fef46573c  PL4a1
   440.159          70.167    -43.733   -113.275            2.091         3453.073      0.900      0.000      0.000    0.00258    7.54536  472587ed-e637-49d6-9630-2ab84943f807  PL4a2
   440.159          70.167    -43.733   -113.275            2.091         3453.073      0.900      0.000      0.000    0.00258    7.54536  d0247ab6-f3f0-4a2e-88f3-b40a9f9c2f8b  PL4a3
   440.159          70.167    -43.733   -113.275            2.091         3453.073      0.900      0.000      0.000    0.00258    7.54536  d7860001-2d1f-4f10-9b6b-132541453973  PL4a4
   392.114          75.204    -40.627   -112.343            2.316         3098.804      0.910      0.000      0.000    0.00527    8.58708  e97e0bad-27a1-41c8-9d5a-9b47ac34faa9  PLE3c
