#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                         ---- DRAMA ( SESAM r2.3.0 ) ----
#                                      ESA 2018
#
#                         final state of uncritical objects
#-------------------------------------------------------------------------------
# Filename      : uncriticalData.txt
# RunID         : PySara
# Content       : This file lists the uncritical objects (kin. energy < 15 J),
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach                UniqueID                  Name
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2280.596           1.032    -46.922   -114.314            0.009         3817.192      0.539      0.000      0.000    0.00000    0.02464  f96060ed-428d-4fb5-8368-873633a99715  TCU
   419.707          73.197    -42.578   -112.920            6.002         3321.211      1.204      0.000      0.000    0.00467   20.23904  c819661c-34ef-46e7-b1eb-890ade42e3af  PCU
  1551.151          11.218    -45.744   -113.918            0.012         3682.661      0.467      0.000      0.000    0.00000    0.03983  ae939109-80e7-4590-ada6-8ab74859c3a8  BCDR
   405.802          74.421    -41.642   -112.640            5.978         3214.529      1.041      0.000      0.000    0.00483   20.28327  c0ddc3c0-47ce-435f-9deb-b33486eaf601  BCU
   419.300          73.206    -42.542   -112.909            5.641         3317.139      1.229      0.000      0.000    0.00411   19.08474  a68c82cf-50d9-4d72-b8e8-fb77b034ddcc  Decoder
   415.100          73.557    -42.247   -112.820            5.978         3283.556      0.976      0.000      0.000    0.00486   20.18087  0e801314-4be9-4a8e-8863-be55cd8972a8  MBU
   429.100          72.280    -43.188   -113.106            6.017         3390.866      1.111      0.000      0.000    0.00433   20.18409  9da080c0-a677-4e48-9413-7396776e2156  X-PND1
   435.100          71.732    -43.595   -113.232            6.150         3437.237      1.242      0.000      0.000    0.00392   20.53505  c287fba3-8bbe-4179-bca3-e0297868e371  TRU1
   429.100          72.280    -43.188   -113.106            6.017         3390.866      1.111      0.000      0.000    0.00433   20.18409  937ad039-148d-4738-aeef-7ba048002fe8  X-PND2
   435.100          71.732    -43.595   -113.232            6.150         3437.237      1.242      0.000      0.000    0.00392   20.53505  197bea65-bd7c-4823-addb-ea50438d3765  TRU2
   426.100          72.774    -43.067   -113.069            7.119         3377.043      0.915      0.000      0.000    0.00198   23.75730  b9715501-449b-451c-a5a4-f4d9347e2f59  MTR1
   426.100          72.774    -43.067   -113.069            7.119         3377.043      0.915      0.000      0.000    0.00198   23.75730  84879cea-7d5c-4089-841e-3521c24c746a  MTR2
   426.100          72.774    -43.067   -113.069            7.119         3377.043      0.915      0.000      0.000    0.00198   23.75730  e7d005bd-2d30-4a52-9e61-1e8b09175adb  MTR3
   409.896          74.070    -41.919   -112.722            5.991         3246.079      1.004      0.000      0.000    0.00503   20.30553  0f2288de-76e2-422f-8b97-5b27ae9b0726  MRU
   434.827          71.570    -43.518   -113.208            2.164         3428.504      1.065      0.000      0.000    0.00336    7.32301  c190928b-6fde-4737-b38b-d6640dd3ce29  ACC
   409.722          74.055    -41.895   -112.715            5.903         3243.403      0.928      0.000      0.000    0.00524   19.98672  8dd6e192-40c1-4d95-82a7-e0edd97e769a  Gyro2
   409.722          74.055    -41.895   -112.715            5.903         3243.403      0.928      0.000      0.000    0.00524   19.98672  bb912958-2642-4cbc-b737-06295400219b  Gyro1
   419.584          73.126    -42.541   -112.909            5.780         3317.007      1.097      0.000      0.000    0.00462   19.47324  73aad817-0c8f-4729-8cfc-bdb457fa3af1  RWE1
   419.584          73.126    -42.541   -112.909            5.780         3317.007      1.097      0.000      0.000    0.00462   19.47324  cbd88e14-9f02-4477-ba19-2ae766ccf9c2  RWE2
   418.100          73.317    -42.464   -112.886            6.083         3308.237      1.136      0.000      0.000    0.00560   20.52385  f846371b-1403-415a-b518-e78f9a87d5e8  STRE1
   418.100          73.317    -42.464   -112.886            6.083         3308.237      1.136      0.000      0.000    0.00560   20.52385  019e359a-7b6d-4e88-ae45-6c0cb1b9f231  STRE2
   418.100          73.317    -42.464   -112.886            6.083         3308.237      1.136      0.000      0.000    0.00560   20.52385  1c53a534-00ac-486c-b9b2-0e0baa3dd619  STRE3
   427.100          72.471    -43.060   -113.067            5.935         3376.205      1.136      0.000      0.000    0.00533   19.98205  cf475c8e-4dd9-43c4-93e1-443e41ca045a  STR1
   427.100          72.471    -43.060   -113.067            5.935         3376.205      1.136      0.000      0.000    0.00533   19.98205  b96f24b8-3482-41b4-8ff7-10c9d0096fe0  STR2
   427.100          72.471    -43.060   -113.067            5.935         3376.205      1.136      0.000      0.000    0.00533   19.98205  d97c8a48-c211-4c49-8222-dd2e42cdea91  STR3
