index,c1D,c2D,tot_c2D,f1D,f2D,area,mass,n_frags,lat_min,lat_max,lon_min,lon_max,drag,heat_flux,heat_flux_CT,heat_flux_TR,heat_flux_FM,density
source_0829_133953_300_0,8.868330622300375e-06,0.0,0.0,8.830726575426162e-06,0.0,19.903104111114015,165.96589675933143,14,-52.76302154515091,-38.58434455336061,-116.51405307843706,-111.75804963120183,1.0,1.0,0.9651860566794357,1.1328929033038553,1.0716076972864474,1.0479720576636844
source_0829_133953_300_1,2.077254290771944e-06,0.0,0.0,1.920358533635813e-06,0.0,20.921848573623517,192.04179391974353,15,-52.85112570270861,-39.24252017247033,-116.55130699311691,-111.93900170336168,1.0,1.0,0.8694812033882182,0.9593417151992031,1.088693588061031,1.036455768288349
source_0829_133953_300_10,1.6582564534030886e-05,0.0,0.0,7.103182977141742e-06,0.0,17.163580639699056,123.75541973396555,12,-52.443451206750105,-36.93928402593877,-116.38033744459598,-111.31652754764984,1.0,1.0,1.1830931206732689,1.4345148180780165,1.0645722541145912,1.0859705703517288
source_0829_133953_300_100,5.487121089653718e-06,0.0,0.0,5.582575861584615e-07,0.0,17.163580639699056,115.08317701123988,12,-53.62581676704978,-37.3981448308508,-116.88573937615298,-111.43923811102663,1.0,1.0,1.2105862742907307,1.4440633883554006,1.0611589482242092,0.9280604477487191
source_0829_133953_300_101,1.2406485737731753e-05,0.0,0.0,6.642123669298172e-06,0.0,15.12956827694223,106.28448792580477,9,-52.61548662285087,-37.63628599269828,-116.45300994834014,-111.5023779176361,1.0,1.0,1.241203022485855,0.6938517312794323,0.9943749112113244,1.0483374739328868
source_0829_133953_300_102,3.0399404858489757e-06,0.0,0.0,2.927304392552621e-06,0.0,20.921848573623517,182.61422090848572,15,-53.00817639174864,-39.12424754731069,-116.61804775223143,-111.90645937829257,1.0,1.0,0.8930410681388408,1.0706910540993988,0.9011186980121513,1.016365009032052
source_0829_133953_300_103,8.065587787972224e-06,0.0,0.0,2.0810584555608358e-07,0.0,15.12956827694223,104.47944853309995,9,-53.257242701304925,-37.01042295652292,-116.72607544216727,-111.33611416013,1.0,1.0,1.2402796231296556,1.4967783253152502,1.0244201761989777,0.9642585035606873
source_0829_133953_300_104,3.601974547512006e-06,0.0,0.0,3.5078272798694243e-06,0.0,23.68248997936912,200.28206886252693,18,-52.72660660829248,-39.020995954171866,-116.49869345701273,-111.87753603016338,1.0,1.0,0.8342783356021493,1.3207658585090691,0.9186542725823976,1.0527851278507474
source_0829_133953_300_105,1.7763763159291951e-06,0.0,0.0,1.7445380983138747e-06,0.0,20.921848573623517,191.04843821998816,15,-54.348741686471605,-40.01221308651721,-117.20584958123554,-112.15547641484122,1.0,1.0,0.8447094028987949,1.1306348985653827,0.9142913765198306,0.865390875133082
source_0829_133953_300_106,1.9116929726091854e-06,0.0,0.0,1.7383894116429488e-06,0.0,23.68248997936912,219.8403291404814,18,-52.12924876170598,-39.300148945085354,-116.24991101596379,-111.95417643298217,1.0,1.0,0.8308963040460542,0.5984960705979303,1.0287707325709574,1.1363316342077407
source_0829_133953_300_107,2.404834716149917e-06,0.0,0.0,2.3736536510776673e-06,0.0,18.759570589384353,161.35847949488561,13,-53.39358559624449,-39.166758915735755,-116.7836669636339,-111.91888560289837,1.0,1.0,1.0135457695545795,0.594888700021046,1.0585991788729356,0.9693410342318287
source_0829_133953_300_108,2.612887801568773e-06,0.0,0.0,2.3448937823689064e-06,0.0,26.394535880289972,245.83838246604,21,-52.89438748952952,-39.79094675745422,-116.56964953048038,-112.0916442117411,1.0,1.0,0.7480838502901946,0.9396977988761985,1.0433384322233257,1.0308663249661063
source_0829_133953_300_109,9.650575600073768e-06,0.0,0.0,8.163975095065723e-06,0.0,17.163580639699056,127.13270488251621,12,-54.112667087343674,-38.63251768227497,-117.10063239625855,-111.77303547097262,1.0,1.0,1.188363575010282,0.6080185972398715,1.0566965539254323,0.8802921571971969
source_0829_133953_300_11,2.667072040394732e-06,0.0,0.0,2.62446860221921e-06,0.0,19.903104111114015,163.09439527250896,14,-54.48437691752462,-39.334263067154595,-117.26721533848908,-111.96595688662384,1.0,1.0,0.9362296716507095,1.4498842808860744,1.0498601247026083,0.8519437738524599
